publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Wired Productions,794.0,707.0,500.2069571687303,3,69.66666666666667,0.6299835732603656
X.D. Network,2717.0,2717.0,,1,78.0,
Zachtronics,3132.0,3132.0,,1,78.0,
Zen Studios,3033.0,3033.0,,1,78.0,
Zodiac Interactive,785.0,785.0,,1,78.0,
adamgryu,227.0,227.0,,1,84.0,
bilibili,763.5,763.5,408.0006127446379,2,76.0,0.5343819420361989
poncle,791.0,791.0,,1,78.0,
tinyBuild,427.0,427.0,603.8691911333116,2,48.0,1.414213562373095
ustwo games,699.0,699.0,,1,81.0,
