publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Sony Computer Entertainment,10774.0,10774.0,,1,78.0,0.5
Sony Interactive Entertainment,1004.0,1004.0,,1,86.0,0.5
Spiderling Studios,454.0,454.0,,1,88.0,0.5
Spike Chunsoft,731.0,731.0,,1,86.0,0.5
Spike Chunsoft Co,2891.25,2830.0,1112.2428916383328,4,82.75,0.3846927424602967
Squanch Games,943.0,943.0,,1,67.0,0.5
Square Enix,1755.090909090909,1247.0,1591.0284965291091,55,79.4,0.9065219860053974
Stardock Entertainment,2663.5,2603.5,543.9561869611682,4,80.5,0.20422608859063945
Strange Scaffold,365.0,365.0,,1,79.0,0.5
Studio Wildcard,456.5,456.5,430.62802974260745,2,68.0,0.9433253663583953
StudioInkyfox,973.0,973.0,,1,77.0,0.5
Subset Games,1581.5,1581.5,1550.6851711420986,2,87.0,0.9805154417591518
Sumo Digital,549.0,549.0,,1,74.0,0.5
Supergiant Games,1902.5,1902.5,796.909342397239,2,88.0,0.4188748186056447
Supra Games,517.0,517.0,45.254833995939045,2,84.0,0.08753352803856682
THQ,2640.3333333333335,3000.0,1351.6509349680484,9,78.77777777777777,0.5119243536048662
THQ Nordic,2309.3142857142857,2010.0,1866.093320461833,35,74.42857142857143,0.808072479352735
Tactical Adventures,212.0,212.0,,1,78.0,0.5
TaleWorlds Entertainment,2421.0,2421.0,1914.8451634531707,2,67.0,0.790931500806762
Team Cherry,850.0,850.0,,1,90.0,0.5
Team Reptile,1004.0,1004.0,,1,82.0,0.5
Team17 Digital,854.8965517241379,792.0,555.741097533451,29,74.37931034482759,0.6500682409031171
Techland Publishing,850.0,850.0,,1,81.0,0.5
Tecmo,4262.0,4262.0,,1,81.0,0.5
Tecmo Koei America,2832.0,2832.0,,1,67.0,0.5
Telltale Games,1432.4545454545455,1217.0,780.6907663904273,11,73.45454545454545,0.5450021216154535
Tequila Works,853.0,853.0,816.0012254892758,2,82.5,0.9566251178068884
Terrible Toybox,822.0,822.0,,1,84.0,0.5
Terry Cavanagh,823.0,823.0,,1,80.0,0.5
The Arcade Crew,212.0,212.0,,1,83.0,0.5
The Chinese Room,3316.0,3316.0,,1,68.0,0.5
The Fullbright Company,638.0,638.0,,1,79.0,0.5
The Voxel Agents,61.0,61.0,,1,82.0,0.5
The Working Parts,2738.0,2738.0,,1,81.0,0.5
Thekla,797.0,797.0,,1,87.0,0.5
Thunder Lotus Games,1126.0,1126.0,,1,86.0,0.5
Tinogames,700.0,700.0,,1,68.0,0.5
Toge Productions,702.6666666666666,943.0,478.17395718852504,3,75.66666666666667,0.6805132218053013
Toplitz Productions,788.0,788.0,728.3199846221439,2,75.5,0.9242639398758171
Total Mayhem Games,940.0,940.0,,1,63.0,0.5
Trapped Nerve Games,263.0,263.0,,1,75.0,0.5
Tripwire Interactive,1371.0,1371.0,,1,71.0,0.5
Ubisoft Entertainment,2459.7115384615386,2033.0,1829.5691289304903,104,75.82692307692308,0.7438145084585082
Unknown Worlds Entertainment,821.5,821.5,215.667568261897,2,82.0,0.26252899362373344
Uppercut Games,1520.0,1520.0,,1,66.0,0.5
Valve,9678.0,9678.0,,1,80.0,0.5
Vector Unit,580.0,580.0,,1,75.0,0.5
Versus Evil,994.0,1081.5,679.3808946386408,6,83.5,0.6834817853507453
Vlambeer,2101.0,2101.0,,1,89.0,0.5
Vyacheslav Shilikhin,8217.0,8217.0,,1,78.0,0.5
Wadjet Eye Games,334.0,334.0,,1,87.0,0.5
Wales Interactive,215.0,215.0,212.13203435596427,2,68.0,0.9866606249114617
Warhorse Studios,546.0,546.0,,1,68.0,0.5
Warner Bros. Interactive,1709.1052631578948,1341.0,1057.7320021177827,19,79.0,0.6188805481550171
WayForward,1343.75,1199.0,689.7605260765024,4,77.0,0.5133101589406529
What Pumpkin Games,1277.0,1277.0,,1,78.0,0.5
WhisperGames,1400.0,988.5,1382.6903726672385,4,79.25,0.987635980476599
Whitethorn Digital,91.0,91.0,,1,73.0,0.5
Whitethorn Games,90.0,90.0,,1,62.0,0.5
Wired Productions,791.4285714285714,334.0,758.7559680474474,7,69.71428571428571,0.9587169271357638
Witch Beam,1012.0,1012.0,,1,79.0,0.5
Wizards of the Coast,439.0,439.0,,1,77.0,0.5
X.D. Network,1155.0,1155.0,,1,65.0,0.5
XSEED Games,2089.6666666666665,1339.0,1655.0254781523254,3,76.33333333333333,0.7920045357245137
XYPE,10439.0,10439.0,,1,78.0,0.5
Xbox Game Studios,6254.0,6254.0,840.0428560496184,2,71.0,0.13432089159731667
Xenoaisam Studio,15522.0,15522.0,,1,78.0,0.5
Xitilon,638.0,638.0,,1,73.0,0.5
YCJY Games,92.0,92.0,,1,68.0,0.5
Yogscast Games,549.0,549.0,,1,73.0,0.5
Young Horses,516.0,516.0,,1,77.0,0.5
Ysbryd Games,1187.5,1187.5,645.5884912233179,2,70.5,0.5436534662933203
Zachtronics,1727.25,1689.5,303.4747381029707,4,85.75,0.17569821282557285
Zen Studios,220.0,220.0,,1,78.0,0.5
adamgryu,1492.0,1492.0,,1,82.0,0.5
bilibili,653.5,653.5,21.920310216782973,2,77.0,0.03354293835773982
cdv Software Entertainment,4890.0,4890.0,,1,71.0,0.5
inXile Entertainment,349.5,349.5,21.920310216782973,2,70.0,0.06271905641425743
nWay,366.0,366.0,,1,53.0,0.5
poncle,151.0,151.0,,1,87.0,0.5
rokaplay,303.0,303.0,,1,75.0,0.5
tinyBuild,506.7142857142857,408.0,315.665283850745,7,70.85714285714286,0.6229650372019214
