publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Tripwire Interactive,553.6666666666666,579.0,252.95322360731703,3,75.66666666666667,0.4568691576291097
Triternion,947.0,947.0,,1,81.0,0.5
Turtle Juice,389.0,389.0,,1,76.0,0.5
Two Tribes Publishing,169.0,169.0,,1,76.0,0.5
UFO Interactive Games,909.0,909.0,,1,75.0,0.5
UN JE NE SAIS QUOI,580.0,580.0,,1,74.0,0.5
Uber Entertainment,288.0,288.0,,1,76.0,0.5
Ubisoft Entertainment,864.5,910.0,238.7544065910966,4,82.25,0.2761762944951956
Urnique Studio,530.0,530.0,,1,76.0,0.5
Versus Evil,571.5,456.5,272.13538297447957,4,79.0,0.4761773980305854
Vertigo Gaming,360.0,360.0,140.0071426749364,2,75.0,0.38890872965260115
Visai Games,519.0,519.0,,1,79.0,0.5
Viva Meda,3090.0,3090.0,,1,76.0,0.5
Vlambeer,122.0,122.0,,1,89.0,0.5
Vox Games,1575.0,1575.0,,1,76.0,0.5
Wadjet Eye Games,551.0,551.0,,1,76.0,0.5
Wales Interactive,744.3333333333334,747.0,148.51217682960097,6,70.66666666666667,0.19952374853954452
Walkabout,111.0,111.0,,1,72.0,0.5
Warhorse Studios,546.0,546.0,,1,68.0,0.5
Warner Bros. Interactive,667.0,670.0,160.52102666006095,3,77.0,0.24066120938539873
WayForward,755.0,755.0,,1,76.0,0.5
What Pumpkin Games,122.0,122.0,,1,78.0,0.5
WhisperGames,804.0,804.0,,1,82.0,0.5
White Wizard Games,18.0,18.0,,1,76.0,0.5
Whitethorn Digital,629.0,629.0,,1,76.0,0.5
Wired Productions,393.5,393.5,40.30508652763321,2,74.5,0.10242715763057994
Wolfire,136.0,136.0,,1,76.0,0.5
X.D. Network,281.0,281.0,313.9554108468271,2,70.5,1.117279042159527
XSEED Games,3026.6,3718.0,1416.621438493714,5,79.2,0.4680570404063022
Yangyang Mobile,91.0,91.0,,1,76.0,0.5
Ynor,639.0,639.0,,1,76.0,0.5
Yogscast Games,379.0,379.0,,1,76.0,0.5
Yukitama Creative Industries,935.0,935.0,,1,75.0,0.5
Zachtronics,495.3333333333333,361.0,344.4190761267442,9,81.66666666666667,0.6953278791253248
Zen Studios,3143.0,3143.0,473.76154339498686,2,76.0,0.1507354576503299
bilibili,1523.0,1523.0,,1,73.0,0.5
frecle ApS,858.0,858.0,,1,74.0,0.5
gaming company,213.0,213.0,,1,76.0,0.5
inXile Entertainment,578.0,578.0,,1,70.0,0.5
indienova,411.0,411.0,,1,81.0,0.5
semiwork,279.0,279.0,,1,76.0,0.5
teamCOIL,482.0,482.0,,1,70.0,0.5
tinyBuild,684.5,606.5,450.89779128070495,12,71.16666666666667,0.6587257725065083
www.handy-games.com,348.5,348.5,231.22391744800103,2,79.0,0.6634832638393143
