game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Rise of the Tomb Raider,11/1/2015,7/1/2025,,86,"Square Enix, Microsoft Studios, Feral Interactive","Feral Interactive, Crystal Dynamics, Nixxes",Xbox / PC
Call of Duty: WWII,11/1/2017,6/1/2025,,79,Activision Blizzard,Sledgehammer Games,Xbox / PC
Warcraft I: Remastered,11/1/2024,6/1/2025,,71,Blizzard Entertainment,,PC
Warcraft II: Remastered,11/1/2024,6/1/2025,,72,Blizzard Entertainment,,PC
Warcraft III: Reforged,1/1/2020,6/1/2025,,59,Activision Blizzard,,PC
Volcano Princess,4/1/2023,6/1/2025,,80,Gamera Games,养蛋人工作室 Egg Hatcher,Xbox / PC
Rematch,6/1/2025,6/1/2025,,78,"Kepler Interactive, Sloclap",Sloclap,Xbox / PC
FBC: Firebreak,6/1/2025,6/1/2025,,64,Remedy Entertainment,Remedy Entertainment,Xbox / PC
Crash Bandicoot 4: It's About Time,10/1/2020,6/1/2025,,85,"Activision Blizzard, Activision Value Publishing","Beenox, Toys for Bob, Iron Galaxy Studios, Activision Shanghai, Hardsuit Labs",Xbox / PC
Lost in Random: The Eternal Die,6/1/2025,6/1/2025,,78,Thunderful Publishing,Stormteller Games,Xbox / PC
The Alters,6/1/2025,6/1/2025,,84,11 bit studios,11 Bit Studios,Xbox / PC
EA Sports FC 25,9/1/2024,6/1/2025,,76,Electronic Arts,"Electronic Arts, EA Canada & EA Romania",Xbox / PC
Barbie Project Friendship,10/1/2024,6/1/2025,,80,Outright Games,"Casual Brothers, XALOC STUDIOS",Xbox / PC
"Warhammer 40,000: Space Marine - Master Crafted Edition",9/1/2011,6/1/2025,,76,SEGA,"Relic Entertainment, SneakyBox",Xbox / PC
Baldur's Gate: Enhanced Edition,11/1/2012,6/1/2025,,78,"Beamdog, Overhaul Games","BioWare, Beamdog, Overhaul Games",Xbox
Baldur's Gate II: Enhanced Edition,11/1/2013,6/1/2025,,78,"Beamdog, Overhaul Games","BioWare, Beamdog, Overhaul Games",Xbox
Symphonia (2024),12/1/2024,6/1/2025,,85,Bandai Namco Entertainment,Bandai Namco Entertainment,Xbox / PC
Crypt Custodian,8/1/2024,6/1/2025,,82,"H2 Interactive Co, Top Hat Studios, H2 Interactive Co., Kyle Thompson",Kyle Thompson,Xbox / PC
Spray Paint Simulator,5/1/2025,5/1/2025,,78,Whitethorn Games,North Star Video Games,Xbox / PC
Metaphor: ReFantazio,10/1/2024,5/1/2025,,94,"SEGA, Atlus","Atlus, Studio Zero",Xbox / PC
To a T,5/1/2025,5/1/2025,,73,Annapurna Interactive,uvula,Xbox / PC
Tom Clancy's The Division 2,3/1/2019,5/1/2025,,82,Ubisoft Entertainment,"Ubisoft, Massive Entertainment",Xbox / PC
Tales of Kenzera: ZAU,4/1/2024,5/1/2025,,76,Electronic Arts,Surgent Studios,Xbox / PC
Activision Prototype #1,1/1/1983,5/1/2025,,79,"Activision Blizzard, Cold Enemy Gaming","Activision, Radical Entertainment, Radical, Dennispr33",Xbox / PC
Atlantis,4/1/1988,5/1/2025,,,Imagic,Imagic,Xbox / PC
Atlantis II,4/1/1988,5/1/2025,,,Anuman Interactive,"Cryo Interactive, Koalabs",Xbox / PC
Barnstorming,3/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Baseball,3/1/1988,5/1/2025,,,Nintendo,Nintendo,Xbox / PC
Beamrider,1/1/1984,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Bloody Human Freeway,7/1/1981,5/1/2025,,,"Captain Games, Blinkbat Games","Captain Games, Blinkbat Games",Xbox / PC
Boxing,7/1/1980,5/1/2025,,,A1 Games,Sony Interactive Entertainment,Xbox / PC
Bridge,12/1/1980,5/1/2025,,,"Artworx Software, cosmigo, zanwuyu","Artworx Software, zanwuyu",Xbox / PC
Caesar II,1/1/1995,5/1/2025,,,"Activision Blizzard, Sierra On-Line","Impressions Games, Impressions Software",Xbox / PC
Checkers,7/1/1980,5/1/2025,,,,LostError,Xbox / PC
Chopper Command,5/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Commando,3/1/1983,5/1/2025,,,Capcom,Capcom,Xbox / PC
